id,type,building_name,floor,x,y
461,path,Borlaug Hall,02,-93.18275684501053,44.98634506599715
462,path,Borlaug Hall,02,-93.1827671639582,44.98637831481255
463,path,Borlaug Hall,02,-93.18274717823978,44.98638707763946
466,path,Borlaug Hall,02,-93.18290595546623,44.986757210549065
467,path,Borlaug Hall,02,-93.18344840225222,44.98698361130075
468,path,Hayes Hall,02,-93.18257117671604,44.98642444734524
470,path,Hayes Hall,02,-93.18231180614404,44.986479517376104
471,path,Hayes Hall,02,-93.18235659704243,44.98657884546783
472,path,Stakman Hall,02,-93.18251084586156,44.98684240033797
475,path,Alderman Hall,02,-93.18329256700831,44.98768415121679
480,path,Alderman Hall,02,-93.18365117626637,44.98748006904543
481,path,Alderman Hall,02,-93.18367193363764,44.9874682306866
482,path,Alderman Hall,02,-93.18378719108185,44.98756856154186
483,path,Alderman Hall,02,-93.1838235629694,44.98759256478154
484,path,Alderman Hall,02,-93.18389195620354,44.98763103030164
486,path,Hodson Hall,02,-93.1839756711032,44.98756002190089
487,path,Hodson Hall,02,-93.18395699962001,44.987577094828126
488,path,Hodson Hall,02,-93.18413736246444,44.98767971399257
489,path,Hodson Hall,02,-93.18415587314918,44.98766278341242
492,path,Green Hall,0G,-93.18521559952018,44.987406381210256
494,path,Green Hall,0G,-93.18508725272396,44.987168937891404
496,path,Soil Science,02,-93.18350480657062,44.98705520366534
497,path,Soil Science,02,-93.18340026333279,44.98709784759363
498,path,Soil Science,02,-93.18341462380093,44.98711497720452
501,path,Molecular & Cellular Biology,03,-93.23253583483982,44.973063598446274
502,path,Molecular & Cellular Biology,03,-93.23262039505416,44.97306337602011
503,path,Molecular & Cellular Biology,03,-93.23268786931176,44.97294760561529
504,path,Molecular & Cellular Biology,03,-93.232763972786,44.97292579699731
505,path,Molecular & Cellular Biology,03,-93.23280348338716,44.972884526657815
506,path,Molecular & Cellular Biology,03,-93.23285032603764,44.972836467815
508,path,Mechanical Engineering,02,-93.23354844816743,44.97510087681114
509,path,Mechanical Engineering,02,-93.23354823885997,44.97500204357282
510,path,Mechanical Engineering,02,-93.23354825053808,44.97497565772254
511,path,Mayo Bldg & Additions,03,-93.23246296799555,44.97143927644961
512,path,Mayo Bldg & Additions,03,-93.23245090272296,44.971447894118945
513,path,Mayo Bldg & Additions,03,-93.23245145249193,44.971498209588546
514,path,Mayo Bldg & Additions,03,-93.23326625499735,44.97149489217022
515,path,Mayo Bldg & Additions,03,-93.23326653437339,44.971523271978704
516,path,Mayo Bldg & Additions,03,-93.23345173195068,44.97152343975609
517,path,Mayo Bldg & Additions,03,-93.23345221883756,44.971650786474235
518,path,Mayo Bldg & Additions,03,-93.23289766096491,44.97149639263471
519,path,Mayo Bldg & Additions,03,-93.23290091825614,44.97189691548053
520,path,Mayo Bldg & Additions,03,-93.23290336616527,44.97214684634371
521,path,Mayo Bldg & Additions,03,-93.23290710495348,44.97262231781324
522,path,Mayo Bldg & Additions,03,-93.23296361078148,44.97268476600006
523,path,Mayo Bldg & Additions,03,-93.23294456829409,44.97277672196736
525,path,Mayo Bldg & Additions,03,-93.23294478927966,44.97282914805754
527,path,Humphrey School of Public Affairs,0B,-93.24471005779344,44.97116664348219
528,path,Humphrey School of Public Affairs,0B,-93.24467403535054,44.97116656785478
529,path,Humphrey School of Public Affairs,0B,-93.24467408745282,44.97124295148252
531,path,Health Sciences Education Ctr,02,-93.23104659338875,44.97218129688718
532,path,Health Sciences Education Ctr,02,-93.2308593755004,44.972181699166995
533,path,Health Sciences Education Ctr,02,-93.23054873897347,44.97218123079382
534,path,Health Sciences Education Ctr,02,-93.23054845510585,44.97227275796225
535,path,Jackson Hall,03,-93.23262071126112,44.97309371494388
536,path,Jackson Hall,03,-93.23292600460874,44.973092121737714
537,path,Jackson Hall,03,-93.2330068161534,44.972946841103145
538,path,Jackson Hall,03,-93.23327676438785,44.97294557454231
